measure_id,measure_name,denominator,numerator,rate,national_average,target,lower_is_better,gap_to_target,meets_target,gap_patient_count
CDC_HbA1c_Testing,Comprehensive Diabetes Care — HbA1c Testing,1234,945,76.6,88.0,90.0,False,13.4,False,289
CDC_HbA1c_Control,Comprehensive Diabetes Care — HbA1c Control (<8.0%),945,433,45.8,58.0,65.0,False,19.2,False,512
CDC_Poor_HbA1c_Control,Comprehensive Diabetes Care — Poor HbA1c Control (>9.0%),945,260,27.5,21.0,18.0,True,-9.5,False,260
CBP_Blood_Pressure_Control,Controlling High Blood Pressure (<140/90),4785,2038,42.6,62.0,70.0,False,27.4,False,2747
COL_Colorectal_Screening,Colorectal Cancer Screening,6620,4324,65.3,68.0,75.0,False,9.7,False,2296
BCS_Breast_Cancer_Screening,Breast Cancer Screening (Mammogram),2931,2071,70.7,72.0,78.0,False,7.3,False,860
SPC_Statin_Cardiovascular,Statin Use in Cardiovascular Disease,2526,1795,71.1,78.0,85.0,False,13.9,False,731
MAD_Diabetes_Adherence,Medication Adherence — Diabetes Medications (PDC≥80%),1234,458,37.1,83.0,87.0,False,49.9,False,776
MAH_Hypertension_Adherence,Medication Adherence — Hypertension (PDC≥80%),4785,1531,32.0,81.0,86.0,False,54.0,False,3254
AWV_Annual_Wellness,Annual Wellness Visit Completion (Medicare),4045,2126,52.6,52.0,65.0,False,12.4,False,1919
